val_accuracy,test_accuracy,train_accuracy,bootstrap,criterion,max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators
0.7993527508090615,0.7922437673130194,1.0,False,entropy,3,0.1,0.05,6,2,39
0.7669902912621359,0.7465373961218836,0.7885975863503953,True,gini,,0.8,0.0,42,2,1359
0.7346278317152104,0.7188365650969529,0.7224302954640033,True,entropy,3,,0.0,3,2,2641
0.7572815533980582,0.7340720221606648,0.7640449438202247,True,entropy,,0.9,0.01,14,2,89
0.7637540453074434,0.7645429362880887,0.8585101955888472,True,gini,,0.7,0.0,16,2,113
0.7961165048543689,0.7950138504155124,1.0,False,gini,,0.3,0.0,1,2,33
0.7443365695792881,0.7437673130193906,0.7844361215147732,True,gini,,sqrt,0.0,30,3,22
0.7087378640776699,0.6994459833795014,0.7086974615064503,True,entropy,2,0.1,0.0,20,3,1262
0.7702265372168284,0.7493074792243767,0.8293799417394923,True,gini,,0.9,0.0,22,2,1052
0.8122977346278317,0.7797783933518005,0.9962546816479401,False,entropy,,sqrt,0.0,4,2,58
0.7281553398058253,0.7119113573407202,0.7220141489804411,False,entropy,3,0.7,0.0,4,2,276
0.7475728155339806,0.7091412742382271,0.7349146899708697,False,gini,4,,0.0,4,2,81
0.7346278317152104,0.7119113573407202,0.7153558052434457,False,entropy,3,0.8,0.0,6,2,95
0.7475728155339806,0.7409972299168975,0.8077403245942572,False,gini,,0.1,0.0,45,2,1248
0.7799352750809061,0.760387811634349,0.8722430295464003,True,gini,,0.8,0.0,13,2,106
0.7152103559870551,0.7022160664819944,0.7116104868913857,True,gini,2,0.5,0.0,4,2,300
0.7508090614886731,0.7271468144044322,0.791926758218893,False,gini,,sqrt,0.0,44,2,10
0.7184466019417476,0.7049861495844876,0.7086974615064503,True,entropy,2,0.5,0.0,3,2,1967
0.7475728155339806,0.7423822714681441,0.8056595921764461,False,entropy,,0.9,0.0,35,2,1349
0.7831715210355987,0.7686980609418282,0.9550561797752809,False,gini,,sqrt,0.0,9,2,129
0.7831715210355987,0.7853185595567868,1.0,False,gini,,0.1,0.0,45,2,1248
0.7864077669902912,0.7908587257617729,0.9983354140657511,False,entropy,,sqrt,0.0,4,2,58
0.7313915857605178,0.7174515235457064,0.7211818560133166,True,entropy,3,,0.0,3,2,2641
0.8025889967637541,0.7853185595567868,1.0,False,gini,,0.3,0.0,1,2,33
0.7799352750809061,0.7631578947368421,0.8722430295464003,True,gini,,0.8,0.0,13,2,106
0.7249190938511327,0.7091412742382271,0.7103620474406991,True,gini,2,0.5,0.0,4,2,300
0.7475728155339806,0.739612188365651,0.8048272992093217,False,entropy,,0.9,0.0,35,2,1349
0.7378640776699029,0.7437673130193906,0.7990012484394506,False,gini,,sqrt,0.0,44,2,10
0.7087378640776699,0.7049861495844876,0.708281315022888,True,entropy,2,0.1,0.0,20,3,1262
0.7637540453074434,0.7728531855955678,0.9592176446109031,False,gini,,sqrt,0.0,9,2,129
0.7508090614886731,0.7091412742382271,0.7349146899708697,False,gini,4,,0.0,4,2,81
0.7346278317152104,0.7132963988919667,0.7170203911776946,False,entropy,3,0.8,0.0,6,2,95
0.7346278317152104,0.7119113573407202,0.7220141489804411,False,entropy,3,0.7,0.0,4,2,276
0.7249190938511327,0.703601108033241,0.7066167290886392,True,entropy,2,0.5,0.0,3,2,1967
0.7799352750809061,0.7506925207756233,0.8293799417394923,True,gini,,0.9,0.0,22,2,1052
0.7669902912621359,0.7576177285318559,0.8580940491052851,True,gini,,0.7,0.0,16,2,113
0.7605177993527508,0.7465373961218836,0.7865168539325843,True,gini,,0.8,0.0,42,2,1359
0.7508090614886731,0.7229916897506925,0.7902621722846442,True,gini,,sqrt,0.0,30,3,22
0.6601941747572816,0.6260387811634349,0.6354556803995006,False,entropy,3,0.1,0.05,6,2,39
0.7605177993527508,0.7271468144044322,0.7652933832709113,True,entropy,,0.9,0.01,14,2,89
0.7799352750809061,0.7908587257617729,0.9995838535164377,True,entropy,2,0.5,0.0,3,2,1967
0.7249190938511327,0.7451523545706371,0.8006658343736995,False,gini,,sqrt,0.0,44,2,10
0.6181229773462783,0.6343490304709142,0.6208905534748231,False,entropy,3,0.1,0.05,6,2,39
0.7475728155339806,0.7091412742382271,0.7349146899708697,False,gini,4,,0.0,4,2,81
0.7605177993527508,0.7950138504155124,1.0,False,gini,,0.3,0.0,1,2,33
0.7702265372168284,0.7465373961218836,0.8297960882230545,True,gini,,0.9,0.0,22,2,1052
0.7993527508090615,0.7936288088642659,0.9970869746150645,False,entropy,,sqrt,0.0,4,2,58
0.7184466019417476,0.7049861495844876,0.7078651685393258,True,gini,2,0.5,0.0,4,2,300
0.7799352750809061,0.760387811634349,0.8772367873491469,True,gini,,0.8,0.0,13,2,106
0.7540453074433657,0.7423822714681441,0.8081564710778194,False,entropy,,0.9,0.0,35,2,1349
0.7313915857605178,0.7188365650969529,0.7249271743653766,True,entropy,3,,0.0,3,2,2641
0.7346278317152104,0.7119113573407202,0.7153558052434457,False,entropy,3,0.8,0.0,6,2,95
0.7572815533980582,0.7354570637119113,0.768622555139409,True,entropy,,0.9,0.01,14,2,89
0.7281553398058253,0.7091412742382271,0.7203495630461922,False,entropy,3,0.7,0.0,4,2,276
0.7443365695792881,0.7340720221606648,0.7935913441531419,True,gini,,sqrt,0.0,30,3,22
0.7475728155339806,0.7368421052631579,0.8085726175613817,False,gini,,0.1,0.0,45,2,1248
0.7216828478964401,0.7146814404432132,0.7111943404078236,True,entropy,2,0.1,0.0,20,3,1262
0.7637540453074434,0.7423822714681441,0.7869330004161464,True,gini,,0.8,0.0,42,2,1359
0.7766990291262136,0.7770083102493075,0.9550561797752809,False,gini,,sqrt,0.0,9,2,129
0.7669902912621359,0.7590027700831025,0.8568456096545984,True,gini,,0.7,0.0,16,2,113
0.8058252427184466,0.8019390581717452,1.0,False,entropy,3,0.1,0.05,6,2,39
0.7702265372168284,0.7493074792243767,0.8281315022888056,True,gini,,0.9,0.0,22,2,1052
0.7766990291262136,0.7770083102493075,0.9525593008739076,False,gini,,sqrt,0.0,9,2,129
0.7734627831715211,0.760387811634349,0.8497711194340408,True,gini,,0.7,0.0,16,2,113
0.7605177993527508,0.7465373961218836,0.7890137328339576,True,gini,,0.8,0.0,42,2,1359
0.7443365695792881,0.7368421052631579,0.7894298793175197,True,gini,,sqrt,0.0,30,3,22
0.7766990291262136,0.7548476454293629,0.8718268830628381,True,gini,,0.8,0.0,13,2,106
0.7346278317152104,0.7119113573407202,0.7149396587598835,False,entropy,3,0.8,0.0,6,2,95
0.7184466019417476,0.703601108033241,0.7095297544735747,True,gini,2,0.5,0.0,4,2,300
0.7184466019417476,0.6994459833795014,0.706200582605077,True,entropy,2,0.5,0.0,3,2,1967
0.7864077669902912,0.7880886426592798,1.0,False,gini,,0.3,0.0,1,2,33
0.7540453074433657,0.7409972299168975,0.8077403245942572,False,gini,,0.1,0.0,45,2,1248
0.7346278317152104,0.7188365650969529,0.7228464419475655,True,entropy,3,,0.0,3,2,2641
0.7378640776699029,0.7576177285318559,0.7985851019558885,False,gini,,sqrt,0.0,44,2,10
0.7443365695792881,0.7299168975069252,0.7732001664585935,True,entropy,,0.9,0.01,14,2,89
0.7184466019417476,0.7077562326869806,0.7128589263420724,True,entropy,2,0.1,0.0,20,3,1262
0.7961165048543689,0.7894736842105263,0.9975031210986267,False,entropy,,sqrt,0.0,4,2,58
0.7313915857605178,0.7119113573407202,0.7215980024968789,False,entropy,3,0.7,0.0,4,2,276
0.7508090614886731,0.7091412742382271,0.7349146899708697,False,gini,4,,0.0,4,2,81
0.7540453074433657,0.7423822714681441,0.8077403245942572,False,entropy,,0.9,0.0,35,2,1349
