Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Bus Voltage (V),Battery Current (A),Power Generated (W),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM),alert
0.0,0.0,0.0,25.0,48.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,3.1,0.8,0.0,5460.0,0
0.0,0.0,0.0,25.0,48.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,3.1,0.8,0.0,5088.0,0
0.0,0.0,0.0,25.0,48.0,48.0,97.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,3.1,0.8,2.0,5088.0,0
0.0,0.0,0.0,25.0,48.0,48.0,97.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,3.1,0.8,0.0,5472.0,0
0.0,0.0,0.0,25.0,48.0,48.0,97.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,3.1,0.8,0.0,5472.0,0
0.0,0.0,5.0,25.0,48.0,48.0,97.0,0.0,0.0,0.0,0.0,0.13,-1.1368683772161603e-13,0.0,3.1,0.8,0.0,5376.0,0
0.0,0.0,5.0,25.0,48.0,48.0,97.0,0.0,0.0,0.0,48.34,0.13,-1.0,30.0,3.1,0.8,1.0,5376.0,0
0.0,0.0,5.0,25.0,47.0,48.0,97.0,0.0,0.0,0.0,48.33,0.14,-1.0,30.0,3.1,0.8,1.0,5412.0,0
0.0,0.0,5.0,25.0,47.0,48.0,97.0,0.0,0.0,0.0,48.33,0.15,-2.0,30.0,3.1,0.8,2.0,5412.0,0
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-3.0,30.0,3.1,0.8,1.0,4908.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.13,-3.0,30.0,3.1,0.8,2.0,4908.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-4.0,30.0,3.1,0.8,0.0,4512.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.13,-5.0,30.0,3.1,0.8,0.0,4512.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.13,-6.0,30.0,3.1,0.8,0.0,5292.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.13,-6.0,30.0,3.1,0.8,0.0,5292.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.34,0.09999999999999998,-6.0,30.0,3.1,0.8,0.0,5664.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.34,0.10999999999999999,-6.0,30.0,3.1,0.8,0.0,5664.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.34,0.12,-6.0,30.0,3.1,0.8,0.0,5268.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.34,0.12,-6.0,30.0,3.1,0.8,0.0,5268.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.10999999999999999,-6.0,30.0,3.1,0.8,0.0,5064.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.10999999999999999,-5.0,30.0,3.1,0.8,0.0,5064.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.13,-6.0,30.0,3.1,0.8,0.0,4980.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-6.0,30.0,3.1,0.8,1.0,4980.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.13,-5.0,30.0,3.1,0.8,0.0,5304.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.09999999999999998,-6.0,30.0,3.1,0.8,0.0,5304.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-6.0,30.0,3.1,0.8,1.0,5124.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-5.0,30.0,3.1,0.8,3.0,5124.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-5.0,30.0,3.1,0.8,2.0,4944.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.34,0.12,-5.0,30.0,3.1,0.8,1.0,4944.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-5.0,30.0,3.1,0.8,0.0,5124.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-5.0,30.0,3.1,0.8,0.0,5124.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,5256.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,5256.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-5.0,30.0,3.1,0.8,0.0,4812.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,4812.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,4908.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-5.0,30.0,3.1,0.8,0.0,4908.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-5.0,30.0,3.1,0.8,0.0,5040.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,5040.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-5.0,30.0,3.1,0.8,0.0,4752.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.14,-5.0,30.0,3.1,0.8,0.0,4752.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,5208.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,5208.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,4920.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,4920.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.32,0.15,-5.0,30.0,3.1,0.8,0.0,5292.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.32,0.16,-6.0,30.0,3.1,0.8,0.0,5292.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,5268.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,5268.0,1
0.0,0.0,5.0,25.0,47.0,47.0,96.0,0.0,0.0,0.0,48.33,0.15,-6.0,30.0,3.1,0.8,0.0,5448.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.14,-5.0,30.0,3.1,0.8,0.0,5448.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,5064.0,1
0.0,0.0,5.0,25.0,47.0,47.0,97.0,0.0,0.0,0.0,48.33,0.16,-6.0,30.0,3.1,0.8,0.0,5064.0,1
0.09999999999990905,0.0,5.0,25.0,46.0,46.0,97.0,0.0,0.0,0.0,48.32,0.18,-7.0,30.0,3.1,0.8,0.0,5232.0,1
0.1999999999998181,0.0,5.0,25.0,46.0,46.0,97.0,0.0,0.0,0.0,48.33,0.14,-6.0,30.0,3.1,0.8,0.0,5232.0,1
0.1999999999998181,0.0,5.0,25.0,46.0,46.0,97.0,0.0,0.0,0.0,48.33,0.12,-6.0,31.0,3.1,0.8,0.0,5124.0,1
-0.09999999999990905,0.0,5.0,25.0,46.0,46.0,97.0,0.0,0.0,0.0,48.33,0.12,-5.0,30.0,3.1,0.8,0.0,5124.0,1
